od,origin,destination,original_origin,original_destination,demand,pi_w,protected_demand,unprotected_demand,z_value,covered,u_w,path_length,shortest_length,detour_cap,model_uncovered_length,uncovered_cap_if_required
3->9,3,9,395,407,3.0,0.15,0.44999999999999996,2.55,1.0,True,0.0,1222.648017277341,1196.846848697858,1436.2162184374295,0.0,239.3693697395716
4->1,4,1,396,393,4.0,0.15,0.6,3.4,1.0,True,0.0,575.739445802484,569.335590170867,683.2027082050404,0.0,113.86711803417342
4->10,4,10,396,408,4.0,0.15,0.6,3.4,1.0,True,0.024919218230488736,986.3540238724199,905.365481024463,1086.4385772293556,22.561,181.0730962048926
4->11,4,11,396,409,4.0,0.85,3.4,0.6000000000000001,1.0,True,0.0,535.828,535.828,642.9935999999999,0.0,107.1656
4->12,4,12,396,410,8.0,0.15,1.2,6.8,1.0,True,0.0,908.5799999999999,774.25,929.0999999999999,0.0,154.85000000000002
4->13,4,13,396,412,8.0,0.15,1.2,6.8,1.0,True,0.0,891.698843035122,773.385,928.0619999999999,0.0,154.67700000000002
4->14,4,14,396,414,2.0,0.85,1.7,0.30000000000000004,1.0,True,0.0,1502.0710000000001,1362.5739999999996,1635.0887999999995,0.0,272.5147999999999
4->2,4,2,396,394,5.0,0.15,0.75,4.25,1.0,True,0.0,1117.242481935427,1059.030634311984,1270.8367611743806,0.0,211.8061268623968
4->3,4,3,396,395,10.0,0.15,1.5,8.5,1.0,True,0.0,298.09967445563905,298.09967445563905,357.71960934676684,0.0,59.61993489112781
4->5,4,5,396,397,20.0,0.15,3.0,17.0,1.0,True,0.0,446.38604418624095,446.38604418624095,535.6632530234891,0.0,89.2772088372482
4->6,4,6,396,398,15.0,0.15,2.25,12.75,1.0,True,0.17122233281916585,920.1669234205891,920.1669234205891,1104.200308104707,157.553127211108,184.03338468411783
4->7,4,7,396,399,13.0,0.15,1.95,11.049999999999999,1.0,True,0.0,1275.0534953249542,1275.0534953249542,1530.064194389945,0.0,255.01069906499083
4->8,4,8,396,401,1.0,0.15,0.15,0.85,0.0,False,1.0,1427.1212323356049,1312.942220362424,1575.5306644349087,0.0,262.58844407248483
4->9,4,9,396,407,6.0,0.15,0.8999999999999999,5.1,1.0,True,0.0,1040.645848697858,1035.287848697858,1242.3454184374295,0.0,207.0575697395716
5->1,5,1,397,393,11.0,0.15,1.65,9.35,1.0,True,0.0,937.181489988725,930.777634357108,1116.9331612285296,0.0,186.1555268714216
5->10,5,10,397,408,15.0,0.15,2.25,12.75,1.0,True,0.04178210717811842,539.967979686179,539.967979686179,647.9615756234148,22.561,107.9935959372358
5->11,5,11,397,409,14.0,0.15,2.1,11.9,1.0,True,0.0,982.2140441862409,834.793847882601,1001.7526174591211,0.0,166.9587695765202
5->12,5,12,397,410,23.0,0.15,3.4499999999999997,19.55,1.0,True,0.0,1354.966044186241,1207.545847882601,1449.0550174591212,0.0,241.5091695765202
5->13,5,13,397,412,15.0,0.15,2.25,12.75,1.0,True,0.0,1253.1408872213628,1206.9938478826011,1448.3926174591213,0.0,241.39876957652024
5->14,5,14,397,414,1.0,0.85,0.85,0.15000000000000002,1.0,True,0.0,1948.4570441862413,1797.3496972395787,2156.8196366874945,0.0,359.46993944791575
5->2,5,2,397,394,19.0,0.15,2.85,16.15,1.0,True,0.0,1478.6845261216677,1382.2586812744848,1658.7104175293819,0.0,276.45173625489696
5->3,5,3,397,395,26.0,0.15,3.9,22.099999999999998,1.0,True,0.0,659.5417186418799,659.5417186418799,791.4500623702559,0.0,131.908343728376
5->4,5,4,397,396,18.0,0.15,2.6999999999999997,15.299999999999999,1.0,True,0.0,446.38604418624095,446.38604418624095,535.6632530234891,0.0,89.2772088372482
5->6,5,6,397,398,37.0,0.15,5.55,31.45,1.0,True,0.15507539392920694,1151.9149676068298,1015.977604306665,1219.1731251679978,157.553127211108,203.195520861333
5->7,5,7,397,399,55.0,0.15,8.25,46.75,1.0,True,0.0,828.667451138713,828.667451138713,994.4009413664555,0.0,165.7334902277426
5->8,5,8,397,401,5.0,0.15,0.75,4.25,0.0,False,1.0,980.735188149364,945.6463144400581,1134.7755773280696,0.0,189.12926288801162
5->9,5,9,397,407,13.0,0.15,1.95,11.049999999999999,1.0,True,0.19226015208763125,917.569131226617,887.151720147505,1064.582064177006,170.56392464036298,177.43034402950101
6->1,6,1,398,393,5.0,0.15,0.75,4.25,1.0,True,0.030179941092316927,1446.7183434387862,1355.304169576822,1626.3650034921864,40.903,271.0608339153644
6->10,6,10,398,408,2.0,0.15,0.3,1.7,1.0,True,0.12179775541256496,1691.882947293009,1478.7967692919158,1774.5561231502988,180.114127211108,295.7593538583832
6->11,6,11,398,409,2.0,0.15,0.3,1.7,1.0,True,0.1197451590865969,1455.9949234205892,1315.7369234205892,1578.8843081047069,157.553127211108,263.14738468411787
6->12,6,12,398,410,8.0,0.15,1.2,6.8,1.0,True,0.09434056728352683,1828.7469234205894,1670.0464259198807,2004.0557111038568,157.553127211108,334.00928518397615
6->13,6,13,398,412,5.0,0.15,0.75,4.25,1.0,True,0.024504825757606593,1762.6777406714243,1669.181425919881,2003.017711103857,40.903,333.8362851839762
